1 type
1.00019 -58.9475 4
1.00036 -58.9455 4
1.0006 -58.9344 4
1.0011 -58.9165 4
2 -58.939 4
2.0005 -58.9889 4
3 -58.9369 4
3.0005 -58.878 4
4 -58.922 4
4.0005 -58.9884 4
5 -58.9109 4
5.0005 -58.9385 4.00001
6 -75.854 28.0633
6.0005 -75.8962 28.0772
7 -81.8211 55.7006
7.0005 -81.8487 55.7146
8 -85.325 83.4327
8.0005 -85.3447 83.4467
9 -87.7939 111.189
9.0005 -87.7818 111.203
10 -89.7865 138.954
10.0005 -89.7565 138.968
11 -91.3383 166.725
11.0008 -91.3263 166.747
11.0013 -91.3243 166.761
12 -92.667 194.498
12.0009 -92.7037 194.523
12.0016 -92.6945 194.542
12.0033 -92.6927 194.589
12.0056 -92.6953 194.653
12.0071 -92.6567 194.694
12.0104 -92.6821 194.787
13 -93.8357 222.273
13.0008 -93.8458 222.296
13.0022 -93.8557 222.334
13.0032 -93.8262 222.361
13.0064 -93.8237 222.451
13.0116 -93.822 222.595
13.018 -93.853 222.772
14 -94.878 250.049
14.0009 -94.9026 250.075
14.0019 -94.8665 250.103
14.0037 -94.8546 250.153
14.0069 -94.8795 250.24
14.0103 -94.8587 250.334
14.0141 -94.8673 250.441
15 -95.7676 277.826
15.0011 -95.7415 277.855
15.0021 -95.798 277.885
15.0043 -95.7564 277.946
15.0067 -95.7751 278.011
15.0104 -95.7831 278.113
15.0162 -95.7959 278.275
16 -96.5955 305.603
16.0007 -96.5632 305.621
16.002 -96.5887 305.658
16.0029 -96.5974 305.682
16.0062 -96.6156 305.776
16.0135 -96.5859 305.977
16.0185 -96.6023 306.117
17 -97.337 333.381
17.0009 -97.3913 333.406
17.0019 -97.3335 333.435
17.0028 -97.3544 333.458
17.0044 -97.3639 333.502
17.006 -97.378 333.548
17.0076 -97.3536 333.592
18 -98.0401 361.159
18.0007 -98.0269 361.178
18.0018 -98.0565 361.21
18.0038 -98.0546 361.266
18.0061 -98.052 361.329
18.0119 -98.0379 361.489
18.0186 -98.0571 361.675
19 -98.6834 388.937
19.0008 -98.6772 388.959
19.0016 -98.7182 388.983
19.0036 -98.7058 389.037
19.0069 -98.6999 389.129
19.0095 -98.7231 389.201
19.0134 -98.7041 389.308
20 -99.2963 416.716
20.0009 -99.2862 416.741
20.0017 -99.2976 416.763
